[Info]
Lang=1
1=Japanese
ExtComment=0

[TagDefinitions]
,T00518,"凍結4継続ﾀｲﾏ"
,T00520,"蓄熱完了遅延ﾀｲﾏ"
,T00521,"蓄熱完了継続ﾀｲﾏ"
,T00523,"蓄1ﾊﾞﾙﾌﾞ監視ﾀｲﾏ"
,T00524,"蓄2ﾊﾞﾙﾌﾞ監視ﾀｲﾏ"
,T00525,"蓄1 復帰遅延"
,T00526,"蓄2 復帰遅延"
,T00528,"a凍結ﾀｲﾏ 追掛"
,T00529,"b凍結ﾀｲﾏ 追掛"
,T00531,"放熱完了遅延ﾀｲﾏ"
,T00532,"放熱完了継続ﾀｲﾏ"
,T00534,"放1ﾊﾞﾙﾌﾞ監視ﾀｲﾏ"
,T00535,"放2ﾊﾞﾙﾌﾞ監視ﾀｲﾏ"
,T00537,"b放ﾊﾞﾙﾌﾞ復帰遅延ﾀｲﾏ"
,T00538,"a放ﾊﾞﾙﾌﾞ復帰遅延ﾀｲﾏ"
,T00541,"追1ﾊﾞﾙﾌﾞ監視ﾀｲﾏ"
,T00542,"追1ｳｫｰﾑ継続ﾀｲﾏ"
,T00543,"追1ｳｫｰﾑ監視ﾀｲﾏ"
,T00544,"追2ﾊﾞﾙﾌﾞ監視ﾀｲﾏ"
,T00545,"追2ｳｫｰﾑ継続ﾀｲﾏ"
,T00546,"追2ｳｫｰﾑ監視ﾀｲﾏ"
,T00547,"同時防止ﾀｲﾏ1"
,T00548,"同時防止ﾀｲﾏ2"
,T00553,"蓄a 残留ﾀｲﾏ"
,T00554,"追a 残留ﾀｲﾏ"
,T00563,"蓄b 残留ﾀｲﾏ"
,T00564,"追b 残留ﾀｲﾏ"
,T00570,"積算ｻｲｸﾙﾀｲﾏ"
,W30129,"D02501L残蓄量設定MJ:L"
,W30257,"TE301 BTa出口温度"
,W30258,"TE302"
,W30259,"TE303"
,W30260,"TE304"
,W30261,"TE305 ITa入口温度"
,W30262,"BTa瞬時流量"
,W30263,"BTa瞬時熱量 蓄熱"
,W30264,"BTa瞬時熱量 追掛"
,W30265,"TE401 BTb出口温度"
,W30266,"TE402"
,W30267,"TE403"
,W30268,"TE404"
,W30269,"TE405 ITb入口温度"
,W30270,"BTb瞬時流量"
,W30271,"BTb瞬時熱量 蓄熱"
,W30272,"BTb瞬時熱量 追掛"
,W30273,"蓄熱槽入口温度"
,W30275,"蓄熱槽瞬時流量"
,W30276,"蓄熱槽瞬時熱量 蓄熱"
,W30277,"蓄熱槽瞬時熱量 放熱"
,W30278,"ITa瞬時流量"
,W30385,"BTa積算流量 LO"
,W30387,"BTa積算熱量 蓄熱 LO"
,W30389,"Bta積算熱量 追掛 LO"
,W30391,"BTb積算流量 LO"
,W30393,"BTb積算熱量 蓄熱 LO"
,W30395,"BTb積算熱量 追掛 LO"
,W30405,"残蓄熱量 MJ LO"
,W30407,"蓄熱量 MJ LO"
,W30409,"設計満蓄熱量 MJ LO"
,X00201,"運転切替手元"
,X00202,"氷蓄熱制御盤中央/手元"
,X00203,"蓄熱運転a系"
,X00204,"放熱運転a系"
,X00205,"追掛運転a系"
,X00206,"蓄熱運転b系"
,X00207,"放熱運転b系"
,X00208,"追掛運転b系"
,X00209,"異常リセット"
,X00503,"ﾘﾝｸﾞUP:ch1"
,X00507,"ﾘﾝｸﾞUP:ch2"
,X00511,"ﾘﾝｸﾞUP:ch3"
,X00515,"ﾘﾝｸﾞUP:ch4"
,X00603,"ﾘﾝｸﾞUP:ch1"
,X00607,"ﾘﾝｸﾞUP:ch2"
,X00701,"ＲＢＴａ圧縮機Ｎｏ１運転"
,X00702,"RBTa:AL"
,X00703,"(SP-BTa-1)状態"
,X00704,"(SP-BTa-1)故障"
,X00705,"(SP-BTa-2)状態"
,X00706,"(SP-BTa-2)故障"
,X00707,"(SP-BTa-3)状態"
,X00708,"(SP-BTa-3)故障"
,X00709,"放熱用(PP-ITa-1)状態"
